Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,Le Havre,17,1,Win,2.0,1
2024-2025,Lowest Draw %,Brest,17,5,Win,3.0,5
2024-2025,Lowest Draw %,St Etienne,17,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Paris SG,17,2,Win,1.0,1
2024-2025,Longest Unbeaten Streak,Lille,17,15,Win,234.0,610
2024-2025,Longest Unbeaten Streak,Marseille,17,1,Win,2.0,1
2024-2025,Highest Loss %,Le Havre,17,1,Win,2.0,1
2024-2025,Highest Loss %,Montpellier,17,14,Win,145.0,377
2024-2025,Highest Loss %,St Etienne,17,1,Win,2.0,1
2024-2025,Highest Win %,Paris SG,17,2,Win,1.0,1
2024-2025,Highest Win %,Marseille,17,1,Win,2.0,1
2024-2025,Highest Win %,Monaco,17,8,Win,9.0,21
2023-2024,Lowest Draw %,Reims,17,2,Win,1.0,1
2023-2024,Lowest Draw %,Monaco,17,2,Win,1.0,1
2023-2024,Lowest Draw %,Nantes,17,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Paris SG,17,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Marseille,17,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Brest,17,2,Win,1.0,1
2023-2024,Highest Loss %,Clermont,17,2,Win,1.0,1
2023-2024,Highest Loss %,Lorient,17,2,Win,1.0,1
2023-2024,Highest Loss %,Lyon,17,10,Win,22.0,55
2023-2024,Highest Win %,Paris SG,17,2,Win,1.0,1
2023-2024,Highest Win %,Nice,17,3,Win,2.0,2
2023-2024,Highest Win %,Monaco,17,2,Win,1.0,1
2022-2023,Lowest Draw %,Paris SG,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Montpellier,19,6,Win,4.0,8
2022-2023,Lowest Draw %,Angers,19,3,Win,2.0,2
2022-2023,Longest Unbeaten Streak,Reims,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Lens,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Marseille,19,1,Win,2.0,1
2022-2023,Highest Loss %,Angers,19,3,Win,2.0,2
2022-2023,Highest Loss %,Ajaccio,19,13,Win,90.0,233
2022-2023,Highest Loss %,Auxerre,19,3,Win,2.0,2
2022-2023,Highest Win %,Paris SG,19,1,Win,2.0,1
2022-2023,Highest Win %,Marseille,19,1,Win,2.0,1
2022-2023,Highest Win %,Lens,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Nantes,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Paris SG,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Rennes,19,11,Win,35.0,89
2021-2022,Longest Unbeaten Streak,Paris SG,19,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,Lille,19,1,Win,2.0,1
2021-2022,Longest Unbeaten Streak,Lyon,19,6,Win,4.0,8
2021-2022,Highest Loss %,St Etienne,19,6,Win,4.0,8
2021-2022,Highest Loss %,Troyes,19,4,Win,2.0,3
2021-2022,Highest Loss %,Clermont,19,7,Win,6.0,13
2021-2022,Highest Win %,Paris SG,19,1,Win,2.0,1
2021-2022,Highest Win %,Nice,19,7,Win,6.0,13
2021-2022,Highest Win %,Marseille,19,1,Win,2.0,1
2020-2021,Lowest Draw %,Brest,19,4,Win,2.0,3
2020-2021,Lowest Draw %,Strasbourg,19,2,Win,1.0,1
2020-2021,Lowest Draw %,Angers,19,4,Win,2.0,3
2020-2021,Longest Unbeaten Streak,Lyon,19,8,Win,9.0,21
2020-2021,Longest Unbeaten Streak,Rennes,19,3,Win,2.0,2
2020-2021,Longest Unbeaten Streak,Reims,19,4,Win,2.0,3
2020-2021,Highest Loss %,Lorient,19,3,Win,2.0,2
2020-2021,Highest Loss %,Nimes,19,8,Win,9.0,21
2020-2021,Highest Loss %,Strasbourg,19,2,Win,1.0,1
2020-2021,Highest Win %,Paris SG,19,17,Win,611.0,1597
2020-2021,Highest Win %,Lille,19,6,Win,4.0,8
2020-2021,Highest Win %,Lyon,19,8,Win,9.0,21
