Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2024-2025,Lowest Draw %,St Johnstone,19,2,Win,1.0,1
2024-2025,Lowest Draw %,Celtic,19,4,Win,2.0,3
2024-2025,Lowest Draw %,Rangers,19,1,Win,2.0,1
2024-2025,Longest Unbeaten Streak,Kilmarnock,19,4,Win,2.0,3
2024-2025,Longest Unbeaten Streak,St Mirren,19,7,Win,6.0,13
2024-2025,Longest Unbeaten Streak,Dundee United,19,10,Win,22.0,55
2024-2025,Highest Loss %,St Johnstone,19,2,Win,1.0,1
2024-2025,Highest Loss %,Hearts,19,1,Win,2.0,1
2024-2025,Highest Loss %,Dundee,19,3,Win,2.0,2
2024-2025,Highest Win %,Celtic,19,4,Win,2.0,3
2024-2025,Highest Win %,Rangers,19,1,Win,2.0,1
2024-2025,Highest Win %,Aberdeen,19,3,Win,2.0,2
2023-2024,Lowest Draw %,Rangers,19,12,Win,56.0,144
2023-2024,Lowest Draw %,Hearts,19,1,Win,2.0,1
2023-2024,Lowest Draw %,Celtic,19,5,Win,3.0,5
2023-2024,Longest Unbeaten Streak,Kilmarnock,19,2,Win,1.0,1
2023-2024,Longest Unbeaten Streak,Hearts,19,1,Win,2.0,1
2023-2024,Longest Unbeaten Streak,Aberdeen,19,2,Win,1.0,1
2023-2024,Highest Loss %,Livingston,19,4,Win,2.0,3
2023-2024,Highest Loss %,Ross County,19,2,Win,1.0,1
2023-2024,Highest Loss %,St Johnstone,19,1,Win,2.0,1
2023-2024,Highest Win %,Celtic,19,5,Win,3.0,5
2023-2024,Highest Win %,Rangers,19,12,Win,56.0,144
2023-2024,Highest Win %,Hearts,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Celtic,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Aberdeen,19,1,Win,2.0,1
2022-2023,Lowest Draw %,Hibernian,19,3,Win,2.0,2
2022-2023,Longest Unbeaten Streak,Celtic,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,Rangers,19,1,Win,2.0,1
2022-2023,Longest Unbeaten Streak,St Mirren,19,8,Win,9.0,21
2022-2023,Highest Loss %,Ross County,19,1,Win,2.0,1
2022-2023,Highest Loss %,Hibernian,19,3,Win,2.0,2
2022-2023,Highest Loss %,Dundee United,19,2,Win,1.0,1
2022-2023,Highest Win %,Celtic,19,1,Win,2.0,1
2022-2023,Highest Win %,Rangers,19,1,Win,2.0,1
2022-2023,Highest Win %,Hearts,19,1,Win,2.0,1
2021-2022,Lowest Draw %,Rangers,19,2,Win,1.0,1
2021-2022,Lowest Draw %,Celtic,19,9,Win,14.0,34
2021-2022,Lowest Draw %,Aberdeen,19,2,Win,1.0,1
2021-2022,Longest Unbeaten Streak,Rangers,19,2,Win,1.0,1
2021-2022,Longest Unbeaten Streak,Celtic,19,9,Win,14.0,34
2021-2022,Longest Unbeaten Streak,Hibernian,19,3,Win,2.0,2
2021-2022,Highest Loss %,Dundee,19,3,Win,2.0,2
2021-2022,Highest Loss %,St Johnstone,19,3,Win,2.0,2
2021-2022,Highest Loss %,Ross County,19,4,Win,2.0,3
2021-2022,Highest Win %,Rangers,19,2,Win,1.0,1
2021-2022,Highest Win %,Celtic,19,9,Win,14.0,34
2021-2022,Highest Win %,Hearts,19,5,Win,3.0,5
2020-2021,Lowest Draw %,Rangers,19,5,Win,3.0,5
2020-2021,Lowest Draw %,Kilmarnock,19,2,Win,1.0,1
2020-2021,Lowest Draw %,Hamilton,19,1,Win,2.0,1
2020-2021,Longest Unbeaten Streak,Rangers,19,5,Win,3.0,5
2020-2021,Longest Unbeaten Streak,Aberdeen,19,1,Win,2.0,1
2020-2021,Longest Unbeaten Streak,Hibernian,19,4,Win,2.0,3
2020-2021,Highest Loss %,Hamilton,19,1,Win,2.0,1
2020-2021,Highest Loss %,Kilmarnock,19,2,Win,1.0,1
2020-2021,Highest Loss %,Ross County,19,3,Win,2.0,2
2020-2021,Highest Win %,Rangers,19,5,Win,3.0,5
2020-2021,Highest Win %,Celtic,19,1,Win,2.0,1
2020-2021,Highest Win %,Aberdeen,19,1,Win,2.0,1
2019-2020,Lowest Draw %,Celtic,15,14,Win,145.0,377
2019-2020,Lowest Draw %,Motherwell,15,8,Win,9.0,21
2019-2020,Lowest Draw %,Rangers,14,1,Win,2.0,1
2019-2020,Longest Unbeaten Streak,Rangers,14,1,Win,2.0,1
2019-2020,Longest Unbeaten Streak,Hibernian,15,8,Win,9.0,21
2019-2020,Longest Unbeaten Streak,Celtic,15,14,Win,145.0,377
2019-2020,Highest Loss %,St Mirren,15,3,Win,2.0,2
2019-2020,Highest Loss %,St Johnstone,14,1,Win,2.0,1
2019-2020,Highest Loss %,Ross County,15,5,Win,3.0,5
2019-2020,Highest Win %,Celtic,15,14,Win,145.0,377
2019-2020,Highest Win %,Rangers,14,1,Win,2.0,1
2019-2020,Highest Win %,Motherwell,15,8,Win,9.0,21
2018-2019,Lowest Draw %,Hamilton,19,5,Win,3.0,5
2018-2019,Lowest Draw %,Celtic,19,10,Win,22.0,55
2018-2019,Lowest Draw %,Hearts,19,6,Win,4.0,8
2018-2019,Longest Unbeaten Streak,Hibernian,19,1,Win,2.0,1
2018-2019,Longest Unbeaten Streak,Aberdeen,19,4,Win,2.0,3
2018-2019,Longest Unbeaten Streak,Rangers,19,1,Win,2.0,1
2018-2019,Highest Loss %,Dundee,19,1,Win,2.0,1
2018-2019,Highest Loss %,Hamilton,19,5,Win,3.0,5
2018-2019,Highest Loss %,St Mirren,19,7,Win,6.0,13
2018-2019,Highest Win %,Celtic,19,10,Win,22.0,55
2018-2019,Highest Win %,Rangers,19,1,Win,2.0,1
2018-2019,Highest Win %,Aberdeen,19,4,Win,2.0,3
2017-2018,Lowest Draw %,Dundee,19,1,Win,2.0,1
